Lemma;POS,Lengh;Mention Distance
flow;('VVG', 4);
kick;('VVG', 4);
write;('VV', 5);24.0
come;('VV', 4);
hear;('VV', 4);
think;('VVG', 5);3.0
take;('VVG', 4);3.0
see;('VVG', 3);
act;('VVG', 3);
transcribe;('VV', 10);
go;('VV', 2);39.0
play;('VV', 4);
echo;('VV', 4);
distort;('VV', 7);
do;('VVG', 2);1.0
make;('VV', 4);76.0
dance;('VV', 5);
drain;('VV', 5);
breathe;('VV', 7);
tell;('VVG', 4);2.0
move;('VVG', 4);
slow;('VV', 4);
brew;('VV', 4);10.0
cook;('VV', 4);
lose;('VV', 4);
rise;('VV', 4);
handle;('VVG', 6);2.0
read;('VV', 4);
descend;('VV', 7);
talk;('VV', 4);
stir;('VVG', 4);
put;('VV', 3);
feel;('VVG', 4);
walk;('VV', 4);
ask;('VV', 3);26.0
realize;('VV', 7);
run;('VVG', 3);
invite;('VV', 6);
appear;('VV', 6);
laugh;('VV', 5);
look;('VVG', 4);18.0
call;('VVG', 4);73.0
enter;('VV', 5);
cry;('VV', 3);
add;('VV', 3);
rain;('VV', 4);
try;('VV', 3);
pack;('VV', 4);
dissipate;('VV', 9);
wind;('VV', 4);
wash;('VV', 4);
like;('VV', 4);
clear;('VV', 5);
emerge;('VV', 6);
sort;('VV', 4);
haunt;('VV', 5);
wander;('VV', 6);
speak;('VV', 5);
flutter;('VV', 7);
spend;('VV', 5);
busy;('VV', 4);
bring;('VVG', 5);
turn;('VV', 4);
plan;('VV', 4);
overflow;('VVG', 8);
sow;('VVG', 3);
grow;('VV', 4);
bend;('VV', 4);
form;('VV', 4);
collect;('VVG', 7);
fade;('VV', 4);
lay;('VVG', 3);
continue;('VV', 8);
include;('VVG', 7);27.0
flower;('VVG', 6);42.0
swing;('VV', 5);
roll;('VV', 4);
ascend;('VV', 6);
gain;('VV', 4);
fall;('VVG', 4);
keep;('VVG', 4);47.0
work;('VV', 4);
get;('VVG', 3);59.0
straighten;('VV', 10);
climb;('VV', 5);0.0
fly;('VVG', 3);3.0
side-slip;('VV', 9);
build;('VV', 5);
use;('VVG', 3);37.0
increase;('VV', 8);
dry;('VV', 3);
notice;('VV', 6);
find;('VV', 4);
resent;('VV', 6);
need;('VV', 4);
scream;('VVG', 6);
swell;('VVG', 5);
snore;('VV', 5);
carry;('VV', 5);
say;('VV', 3);56.0
pick;('VV', 4);
review;('VV', 6);
forecast;('VVG', 8);
bark;('VVG', 4);
answer;('VV', 6);
sit;('VVG', 3);
sing;('VV', 4);
leave;('VV', 5);
propel;('VV', 6);
clean;('VVG', 5);
sip;('VV', 3);
attack;('VVG', 6);
tidy;('VV', 4);
gather;('VVG', 6);
re-learning;('VVG', 11);
fear;('VV', 4);
develop;('VV', 7);
