text_id,sent_id,finite_verb,non_finite_verb,length,befaft_bef,befaft_aft,argstr_NC,argstr_NP,argstr_PP,tense_pre,tense_pst,tense_fut,tense_cond,verb_POS,target_form
3,2147,start,flow,4,0,0,0,0,1,0,0,1,0,VVG,1
4,3128,hate,kick,4,0,1,0,1,0,1,0,0,0,VVG,1
4,3262,start,write,5,0,0,1,0,0,1,0,0,0,VVG,1
5,4662,start,come,4,0,0,1,0,0,0,1,0,0,VV,0
5,4941,hate,hear,4,0,0,1,0,0,1,0,0,0,VV,0
6,5641,start,think,5,0,0,1,0,0,0,0,1,0,VV,0
6,7277,hate,see,3,0,0,0,0,1,0,1,0,0,VVG,1
6,7934,start,act,3,0,0,1,0,0,0,1,0,0,VVG,1
8,9543,start,transcribe,10,0,0,1,0,0,0,1,0,0,VV,0
8,10005,start,go,2,0,1,1,0,0,0,1,0,0,VV,0
8,10726,start,play,4,1,0,0,1,0,1,0,0,0,VV,0
8,10727,start,echo,4,0,0,0,0,1,1,0,0,0,VV,0
8,10730,start,distort,7,1,0,0,0,1,1,0,0,0,VV,0
8,10765,start,hear,4,0,1,0,1,0,1,0,0,0,VV,0
8,11479,start,make,4,0,1,0,1,0,0,1,0,0,VV,0
8,11817,start,make,4,0,1,1,0,0,1,0,0,0,VV,0
8,11850,start,dance,5,0,0,0,0,1,0,1,0,0,VV,0
8,12007,start,drain,5,0,0,0,0,1,0,0,0,0,VV,0
8,12100,start,breathe,7,0,0,1,0,0,0,1,0,0,VV,0
8,12741,start,move,4,0,0,1,0,0,1,0,0,0,VV,0
9,12867,start,slow,4,0,0,1,0,0,1,0,0,0,VV,0
9,12915,start,brew,4,0,1,0,1,0,0,1,0,0,VVG,1
9,12921,start,brew,4,0,1,0,1,0,0,1,0,0,VV,0
11,13653,start,go,2,0,0,1,0,0,0,1,0,0,VV,0
11,14757,start,cook,4,0,0,0,0,1,0,1,0,0,VV,0
11,14923,start,lose,4,0,1,0,1,0,1,0,0,0,VV,0
11,15029,start,rise,4,0,0,1,0,0,1,0,0,0,VV,0
11,15107,start,handle,6,0,1,0,1,0,0,1,0,0,VVG,1
12,15633,start,read,4,0,1,0,1,0,0,1,0,0,VV,0
12,15893,start,descend,7,0,0,0,0,1,0,0,0,0,VV,0
